time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
1000;2.991;1;0;0;0;0;0;8.40726;1;0;0;0;0;0;11.3983;NA;./competition_output_1009;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0;0;0;0.7375889387013853
123041;0.0228702;1;0;0;0;0;0;0.00207659;1;0;0;0;0;0;0.0249468;NA;./competition_output_1009;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0;0;0;0.08324073628681834
0;30;1;0;0;0;0;0;29.9993;1;0;0;0;0;0;59.9993;NA;./competition_output_101;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.263158;1;0;1e-4;1;1e-7;0;0;0;0;0.49999416659861035
10;28.2875;1;0;0;0;0;0;28.6684;1;0;0;0;0;0;56.956;NA;./competition_output_101;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.263158;1;0;1e-4;1;1e-7;0;0;0;0;0.5033429313856309
50;22.9642;1;0;0;0;0;0;24.4033;1;0;0;0;0;0;47.3676;NA;./competition_output_101;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.263158;1;0;1e-4;1;1e-7;0;0;0;0;0.5151897077327118
100;18.5055;1;0;0;0;0;0;20.65;1;0;0;0;0;0;39.1555;NA;./competition_output_101;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.263158;1;0;1e-4;1;1e-7;0;0;0;0;0.5273844032128308
1000;3.70538;1;0;0;0;0;0;5.87678;1;0;0;0;0;0;9.58216;NA;./competition_output_101;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.263158;1;0;1e-4;1;1e-7;0;0;0;0;0.6133043071708258
178289;0.0304335;1;0;0;0;0;0;0.0024247;1;0;0;0;0;0;0.0328582;NA;./competition_output_101;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.263158;1;0;1e-4;1;1e-7;0;0;0;0;0.07379284318678443
0;29.9401;0.965794;0;1.0604;0.0342059;0;0;29.9986;1;0;0;0;0;0;60.9991;NA;./competition_output_1010;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0.03420589990484024;0;0;0.49178758375123566
10;27.5437;0.95418;0;1.32266;0.0458201;0;0;29.0478;1;0;0;0;0;0;57.9141;NA;./competition_output_1010;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0.04582011725759673;0;0;0.5015669759177817
50;19.1815;0.887098;0;2.44126;0.112902;0;0;25.9188;1;0;0;0;0;0;47.5416;NA;./competition_output_1010;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0.11290233069228907;0;0;0.5451814831642183
100;11.593;0.785265;0;3.17016;0.214735;0;0;23.0906;1;0;0;0;0;0;37.8538;NA;./competition_output_1010;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0.2147345148328678;0;0;0.6099942410009035
1000;0.704238;0.967971;0;0.0233027;0.0320294;0;0;9.73152;1;0;0;0;0;0;10.4591;NA;./competition_output_1010;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0.03202941086319982;0;0;0.9304356971441138
109502;0.0474781;0.0576308;0;0.776353;0.942369;0;0;8.80686e-4;1;0;0;0;0;0;0.824712;NA;./competition_output_1010;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.631579;1;0;1e-4;1;1e-7;0;0.9423691336731522;0;0;0.0010678709658644473
